State,RefundURL,MainTaxURL,HasIncomeTax,BusinessURL,PropertyURL
Alabama,https://myalabamataxes.alabama.gov/_/,https://revenue.alabama.gov/,true,https://revenue.alabama.gov/business/,https://revenue.alabama.gov/property-tax/
Alaska,N/A,https://tax.alaska.gov/,false,https://tax.alaska.gov/programs/whatsnew.aspx,https://tax.alaska.gov/programs/programs/index.aspx
Arizona,https://azdor.gov/wheres-my-refund,https://azdor.gov/,true,https://azdor.gov/business,https://azdor.gov/property
Arkansas,https://atap.arkansas.gov/_/,https://www.dfa.arkansas.gov/,true,https://www.dfa.arkansas.gov/excise-tax/business-tax/,https://www.dfa.arkansas.gov/excise-tax/property-tax/
California,https://www.ftb.ca.gov/refund-status/index.html,https://www.ftb.ca.gov/,true,https://www.ftb.ca.gov/file/business/index.html,https://www.boe.ca.gov/proptaxes/
Colorado,https://www.colorado.gov/revenueonline,https://tax.colorado.gov/,true,https://tax.colorado.gov/business-income-tax,https://www.colorado.gov/dola/property-tax
Connecticut,https://portal.ct.gov/DRS/TSC/Refund-Status,https://portal.ct.gov/DRS,true,https://portal.ct.gov/DRS/Businesses/Business-Tax,https://portal.ct.gov/OPM/IGPP-MAIN/Property-Tax/Property-Tax
Delaware,https://dorweb.revenue.delaware.gov/scripts/cardservice/default.asp,https://revenue.delaware.gov/,true,https://revenue.delaware.gov/business-tax/,https://revenue.delaware.gov/frequently-asked-questions/real-property-tax-faqs/
District of Columbia,https://mytax.dc.gov/_/,https://otr.cfo.dc.gov/,true,https://otr.cfo.dc.gov/page/business-taxes,https://otr.cfo.dc.gov/page/real-property-tax
Florida,N/A,https://floridarevenue.com/,false,https://floridarevenue.com/taxes/businesstax/Pages/default.aspx,https://floridarevenue.com/property/Pages/default.aspx
Georgia,https://gtc.dor.ga.gov/_/,https://dor.georgia.gov/,true,https://dor.georgia.gov/business-tax,https://dor.georgia.gov/property-tax
Hawaii,https://hitax.hawaii.gov/_/,https://tax.hawaii.gov/,true,https://tax.hawaii.gov/businesses/,https://tax.hawaii.gov/real-property/
Idaho,https://tax.idaho.gov/i-1182.cfm,https://tax.idaho.gov/,true,https://tax.idaho.gov/business.html,https://tax.idaho.gov/property.html
Illinois,https://mytax.illinois.gov/_/,https://tax.illinois.gov/,true,https://tax.illinois.gov/businesses.html,https://tax.illinois.gov/localgovernments/property.html
Indiana,https://www.in.gov/dor/tax-refunds/wheres-my-refund/,https://www.in.gov/dor/,true,https://www.in.gov/dor/business-tax/,https://www.in.gov/dlgf/property-tax/
Iowa,https://tax.iowa.gov/wheres-my-refund,https://tax.iowa.gov/,true,https://tax.iowa.gov/business-taxes,https://tax.iowa.gov/property-tax
Kansas,https://www.kdor.ks.gov/apps/kcsc/increfundstatus.aspx,https://www.kdor.ks.gov/,true,https://www.kdor.ks.gov/Business/Business-Taxes/Business-Taxes.aspx,https://www.kdor.ks.gov/Apps/kcsc/advocateviewproperty.aspx
Kentucky,https://revenue.ky.gov/Individual/Wheres-My-Refund/Pages/default.aspx,https://revenue.ky.gov/,true,https://revenue.ky.gov/Business/Pages/default.aspx,https://revenue.ky.gov/Property/Pages/default.aspx
Louisiana,https://latap.revenue.louisiana.gov/,https://revenue.louisiana.gov/,true,https://revenue.louisiana.gov/BusinessIncome,https://revenue.louisiana.gov/PropertyTax
